Time;Theta;Time(s);Theta(rad)
4903;59;4.903;1.02974425867665
4919;59;4.919;1.02974425867665
4935;59;4.935;1.02974425867665
4951;59;4.951;1.02974425867665
4967;59;4.967;1.02974425867665
4983;59;4.983;1.02974425867665
5000;59;5;1.02974425867665
5016;59;5.016;1.02974425867665
5032;59;5.032;1.02974425867665
5048;59;5.048;1.02974425867665
5064;59;5.064;1.02974425867665
5080;59;5.08;1.02974425867665
5096;59;5.096;1.02974425867665
5112;59;5.112;1.02974425867665
5129;59;5.129;1.02974425867665
5145;59;5.145;1.02974425867665
5161;59;5.161;1.02974425867665
5177;59;5.177;1.02974425867665
5193;59;5.193;1.02974425867665
5209;59;5.209;1.02974425867665
5225;59;5.225;1.02974425867665
5241;59;5.241;1.02974425867665
5258;59;5.258;1.02974425867665
5274;59;5.274;1.02974425867665
5290;59;5.29;1.02974425867665
5306;59;5.306;1.02974425867665
5322;59;5.322;1.02974425867665
5338;59;5.338;1.02974425867665
5354;59;5.354;1.02974425867665
5370;59;5.37;1.02974425867665
5387;59;5.387;1.02974425867665
5403;59;5.403;1.02974425867665
5419;59;5.419;1.02974425867665
5435;59;5.435;1.02974425867665
5451;59;5.451;1.02974425867665
5467;59;5.467;1.02974425867665
5483;59;5.483;1.02974425867665
5500;59;5.5;1.02974425867665
5516;59;5.516;1.02974425867665
5532;59;5.532;1.02974425867665
5548;59;5.548;1.02974425867665
5564;59;5.564;1.02974425867665
5580;59;5.58;1.02974425867665
5596;59;5.596;1.02974425867665
5612;59;5.612;1.02974425867665
5629;59;5.629;1.02974425867665
5645;59;5.645;1.02974425867665
5661;59;5.661;1.02974425867665
5677;59;5.677;1.02974425867665
5693;59;5.693;1.02974425867665
5709;59;5.709;1.02974425867665
5725;59;5.725;1.02974425867665
5741;59;5.741;1.02974425867665
5758;59;5.758;1.02974425867665
5774;59;5.774;1.02974425867665
5790;59;5.79;1.02974425867665
5806;59;5.806;1.02974425867665
5822;59;5.822;1.02974425867665
5838;59;5.838;1.02974425867665
5854;59;5.854;1.02974425867665
5870;59;5.87;1.02974425867665
5887;59;5.887;1.02974425867665
5903;59;5.903;1.02974425867665
5919;59;5.919;1.02974425867665
5935;59;5.935;1.02974425867665
5951;59;5.951;1.02974425867665
5967;59;5.967;1.02974425867665
5983;59;5.983;1.02974425867665
6000;59;6;1.02974425867665
6016;59;6.016;1.02974425867665
6032;59;6.032;1.02974425867665
6048;59;6.048;1.02974425867665
6064;59;6.064;1.02974425867665
6080;59;6.08;1.02974425867665
6096;59;6.096;1.02974425867665
6112;59;6.112;1.02974425867665
6129;59;6.129;1.02974425867665
